14,2,category,category_subtype,duration,message_index,repetitions,set_type,start_time,timestamp
0,"[170, 85]","['unknown', 'flye']","[None, 2]",241.973,0,6,active,2025-07-18 11:24:13+00:00,2025-07-18 11:24:13+00:00
,,,,60.464,1,,rest,2025-07-18 11:28:15+00:00,2025-07-18 11:24:13+00:00
1,"[212, 212]","['sit_up', 'crunch']",,241.568,2,7,active,2025-07-18 11:29:16+00:00,2025-07-18 11:24:13+00:00
,,,,60.492,3,,rest,2025-07-18 11:33:17+00:00,2025-07-18 11:24:13+00:00
2,"[170, 170]","['push_up', 'triceps_extension']","[None, 0]",73.194,4,11,active,2025-07-18 11:34:18+00:00,2025-07-18 11:24:13+00:00
,,,,46.316,5,,rest,2025-07-18 11:35:31+00:00,2025-07-18 11:24:13+00:00
3,"[255, None]","['unknown', 'curl']",,73.252,6,7,active,2025-07-18 11:36:17+00:00,2025-07-18 11:24:13+00:00
,,,,90.076,7,,rest,2025-07-18 11:37:31+00:00,2025-07-18 11:24:13+00:00
4,"[255, None]","['unknown', 'curl']",,95.45,8,4,active,2025-07-18 11:39:01+00:00,2025-07-18 11:24:13+00:00
,,,,60.238,9,,rest,2025-07-18 11:40:36+00:00,2025-07-18 11:24:13+00:00
5,"[212, 212]","['bench_press', 'shoulder_press']",,75.664,10,10,active,2025-07-18 11:41:36+00:00,2025-07-18 11:24:13+00:00
,,,,90.38,11,,rest,2025-07-18 11:42:52+00:00,2025-07-18 11:24:13+00:00
6,"[85, 85]","['unknown', 'sit_up']",,88.546,12,5,active,2025-07-18 11:44:22+00:00,2025-07-18 11:24:13+00:00
,,,,60.467,13,,rest,2025-07-18 11:45:51+00:00,2025-07-18 11:24:13+00:00
7,"[170, 170]","['sit_up', 'crunch']",,78.82,14,7,active,2025-07-18 11:46:51+00:00,2025-07-18 11:24:13+00:00
,,,,2.527,15,,rest,2025-07-18 11:48:10+00:00,2025-07-18 11:24:13+00:00
