14,2,category,category_subtype,duration,message_index,repetitions,set_type,start_time,timestamp
0,"[255, None]","['unknown', 'curl']",,237.632,0,10,active,2025-07-08 09:17:15+00:00,2025-07-08 09:17:15+00:00
,,,,7.033,1,,rest,2025-07-08 09:21:14+00:00,2025-07-08 09:17:15+00:00
1,"[255, None]","['unknown', 'curl']",,207.629,2,7,active,2025-07-08 09:21:21+00:00,2025-07-08 09:17:15+00:00
,,,,49.548,3,,rest,2025-07-08 09:24:49+00:00,2025-07-08 09:17:15+00:00
2,"[255, None]","['cardio', 'unknown']","[6, None]",160.999,4,7,active,2025-07-08 09:25:38+00:00,2025-07-08 09:17:15+00:00
,,,,20.473,5,,rest,2025-07-08 09:28:19+00:00,2025-07-08 09:17:15+00:00
3,"[255, None]","['unknown', 'curl']",,122.341,6,6,active,2025-07-08 09:28:40+00:00,2025-07-08 09:17:15+00:00
,,,,40.558,7,,rest,2025-07-08 09:30:42+00:00,2025-07-08 09:17:15+00:00
4,"[127, 127]","['bench_press', 'shoulder_press']",,191.83,8,22,active,2025-07-08 09:31:23+00:00,2025-07-08 09:17:15+00:00
,,,,90.479,9,,rest,2025-07-08 09:34:35+00:00,2025-07-08 09:17:15+00:00
5,"[212, 212]","['bench_press', 'shoulder_press']",,170.888,10,21,active,2025-07-08 09:36:05+00:00,2025-07-08 09:17:15+00:00
,,,,30.485,11,,rest,2025-07-08 09:38:56+00:00,2025-07-08 09:17:15+00:00
