14,2,category,category_subtype,duration,message_index,repetitions,set_type,start_time,timestamp
0,"[255, None]","['unknown', 'curl']",,102.15,0,10,active,2025-08-01 17:04:35+00:00,2025-08-01 17:04:35+00:00
,,,,35.699,1,,rest,2025-08-01 17:06:20+00:00,2025-08-01 17:04:35+00:00
1,"[255, None]","['unknown', 'curl']",,100.441,2,10,active,2025-08-01 17:06:55+00:00,2025-08-01 17:04:35+00:00
,,,,40.406,3,,rest,2025-08-01 17:08:36+00:00,2025-08-01 17:04:35+00:00
2,"[255, 255]","['push_up', 'triceps_extension']","[None, 0]",96.929,4,10,active,2025-08-01 17:09:16+00:00,2025-08-01 17:04:35+00:00
,,,,114.676,5,,rest,2025-08-01 17:10:53+00:00,2025-08-01 17:04:35+00:00
3,"[255, None]","['unknown', 'curl']",,5.294,6,20,active,2025-08-01 17:12:48+00:00,2025-08-01 17:04:35+00:00
,,,,52.314,7,,rest,2025-08-01 17:12:53+00:00,2025-08-01 17:04:35+00:00
4,"[255, None]","['unknown', 'curl']",,62.542,8,20,active,2025-08-01 17:13:45+00:00,2025-08-01 17:04:35+00:00
,,,,60.412,9,,rest,2025-08-01 17:14:48+00:00,2025-08-01 17:04:35+00:00
5,"[255, None]","['unknown', 'curl']",,62.074,10,20,active,2025-08-01 17:15:48+00:00,2025-08-01 17:04:35+00:00
,,,,60.738,11,,rest,2025-08-01 17:16:50+00:00,2025-08-01 17:04:35+00:00
6,"[255, 255]","['push_up', 'triceps_extension']","[None, 0]",34.965,12,10,active,2025-08-01 17:17:51+00:00,2025-08-01 17:04:35+00:00
,,,,58.719,13,,rest,2025-08-01 17:18:26+00:00,2025-08-01 17:04:35+00:00
7,"[255, 255]","['push_up', 'triceps_extension']","[None, 0]",25.631,14,10,active,2025-08-01 17:19:25+00:00,2025-08-01 17:04:35+00:00
,,,,59.276,15,,rest,2025-08-01 17:19:50+00:00,2025-08-01 17:04:35+00:00
8,"[255, 255]","['push_up', 'triceps_extension']","[None, 0]",21.651,16,10,active,2025-08-01 17:20:50+00:00,2025-08-01 17:04:35+00:00
,,,,62.729,17,,rest,2025-08-01 17:21:11+00:00,2025-08-01 17:04:35+00:00
9,"[255, None]","['unknown', 'curl']",,117.932,18,30,active,2025-08-01 17:22:14+00:00,2025-08-01 17:04:35+00:00
,,,,60.571,19,,rest,2025-08-01 17:24:12+00:00,2025-08-01 17:04:35+00:00
10,"[170, 85]","['unknown', 'sit_up']",,122.435,20,30,active,2025-08-01 17:25:13+00:00,2025-08-01 17:04:35+00:00
,,,,60.179,21,,rest,2025-08-01 17:27:15+00:00,2025-08-01 17:04:35+00:00
11,"[255, None]","['unknown', 'curl']",,131.198,22,30,active,2025-08-01 17:28:15+00:00,2025-08-01 17:04:35+00:00
,,,,9.352,23,,rest,2025-08-01 17:30:26+00:00,2025-08-01 17:04:35+00:00
