14,2,category,category_subtype,duration,message_index,repetitions,set_type,start_time,timestamp
0,"[255, None]","['unknown', 'curl']",,129.629,0,6,active,2025-09-11 15:48:25+00:00,2025-09-11 15:48:25+00:00
,,,,40.413,1,,rest,2025-09-11 15:50:35+00:00,2025-09-11 15:48:25+00:00
1,"[255, None]","['unknown', 'curl']",,123.332,2,6,active,2025-09-11 15:51:15+00:00,2025-09-11 15:48:25+00:00
,,,,40.446,3,,rest,2025-09-11 15:53:18+00:00,2025-09-11 15:48:25+00:00
2,"[255, None]","['pull_up', 'unknown']",,115.755,4,6,active,2025-09-11 15:53:59+00:00,2025-09-11 15:48:25+00:00
,,,,40.514,5,,rest,2025-09-11 15:55:54+00:00,2025-09-11 15:48:25+00:00
3,"[212, 42]","['squat', 'unknown']",,68.596,6,10,active,2025-09-11 15:56:35+00:00,2025-09-11 15:48:25+00:00
,,,,60.53,7,,rest,2025-09-11 15:57:44+00:00,2025-09-11 15:48:25+00:00
4,"[255, None]","['squat', 'unknown']",,59.98,8,10,active,2025-09-11 15:58:44+00:00,2025-09-11 15:48:25+00:00
,,,,60.327,9,,rest,2025-09-11 15:59:44+00:00,2025-09-11 15:48:25+00:00
5,"[170, 85]","['squat', 'unknown']",,54.53,10,10,active,2025-09-11 16:00:44+00:00,2025-09-11 15:48:25+00:00
,,,,65.923,11,,rest,2025-09-11 16:01:39+00:00,2025-09-11 15:48:25+00:00
6,"[170, 170]","['push_up', 'triceps_extension']","[None, 0]",38.712,12,12,active,2025-09-11 16:02:45+00:00,2025-09-11 15:48:25+00:00
,,,,60.509,13,,rest,2025-09-11 16:03:24+00:00,2025-09-11 15:48:25+00:00
7,"[170, 170]","['push_up', 'triceps_extension']","[None, 0]",33.191,14,12,active,2025-09-11 16:04:24+00:00,2025-09-11 15:48:25+00:00
,,,,60.253,15,,rest,2025-09-11 16:04:57+00:00,2025-09-11 15:48:25+00:00
8,"[212, 212]","['push_up', 'triceps_extension']","[None, 0]",32.379,16,12,active,2025-09-11 16:05:58+00:00,2025-09-11 15:48:25+00:00
,,,,60.45,17,,rest,2025-09-11 16:06:30+00:00,2025-09-11 15:48:25+00:00
9,"[255, None]","['unknown', 'curl']",,110.235,18,12,active,2025-09-11 16:07:30+00:00,2025-09-11 15:48:25+00:00
,,,,60.347,19,,rest,2025-09-11 16:09:21+00:00,2025-09-11 15:48:25+00:00
10,"[255, None]","['unknown', 'curl']",,103.109,20,4,active,2025-09-11 16:10:21+00:00,2025-09-11 15:48:25+00:00
,,,,6.453,21,,rest,2025-09-11 16:12:04+00:00,2025-09-11 15:48:25+00:00
